League,Player,Position,Tier,Status,Note
MLB,Rickey Henderson,OF,Stud,Retired,All-time stolen base leader
MLB,Frank Robinson,OF,Stud,Retired,Power/average outfielder
MLB,Reggie Jackson,OF,Sneaky Stud,Retired,Power/strikeout slugger
MLB,Mike Schmidt,3B,Stud,Retired,Elite power third baseman
MLB,George Brett,3B,Stud,Retired,Elite batting-average third baseman
MLB,Wade Boggs,3B,Sneaky Stud,Retired,Elite contact/average hitter
MLB,Tony Gwynn,OF,Stud,Retired,Elite career batting average
MLB,Rod Carew,2B,Sneaky Stud,Retired,Elite contact-hitting infielder
MLB,Ken Griffey Jr,OF,Stud,Retired,Power/efficiency outfielder
MLB,Alex Rodriguez,SS,Stud,Retired,Power/average shortstop-3B
MLB,Manny Ramirez,OF,Stud,Retired,Elite power/average hitter
MLB,David Ortiz,DH,Stud,Retired,Power DH specialist
MLB,Albert Pujols,1B,Stud,Retired,Volume power/average first baseman
MLB,Chipper Jones,3B,Sneaky Stud,Retired,Switch-hitting power/average
MLB,Ivan Rodriguez,C,Sneaky Stud,Retired,Power/defense catcher
MLB,Mariano Rivera,P,Stud,Retired,All-time saves leader
MLB,Ozzie Smith,SS,Role Player,Retired,Elite defense low power shortstop
MLB,Ernie Banks,SS,Sneaky Stud,Retired,Power-hitting shortstop
MLB,Willie McCovey,1B,Sneaky Stud,Retired,Power-hitting first baseman
MLB,Harmon Killebrew,1B,Sneaky Stud,Retired,Elite home run rate hitter
MLB,Frank Thomas,1B,Sneaky Stud,Retired,Power/average first baseman-DH
MLB,Jeff Bagwell,1B,Sneaky Stud,Retired,Power/speed first baseman
MLB,Craig Biggio,2B,Sneaky Stud,Retired,Volume hits second baseman
MLB,Roberto Clemente,OF,Stud,Retired,Elite average/arm outfielder
MLB,Yogi Berra,C,Sneaky Stud,Retired,Contact-hitting catcher
MLB,Johnny Bench,C,Stud,Retired,Power-hitting defensive catcher
MLB,Shohei Ohtani,DH,Stud,Active,Two-way power/pitching outlier
MLB,Aaron Judge,OF,Stud,Active,Elite power/size outfielder
MLB,Mike Trout,OF,Stud,Active,Five-tool stat-stuffer
MLB,Mookie Betts,OF,Stud,Active,Power/speed/defense outfielder
MLB,Juan Soto,OF,Stud,Active,Elite plate-discipline hitter
MLB,Ronald Acuna Jr,OF,Stud,Active,Power/speed 40-40 outfielder
MLB,Fernando Tatis Jr,SS,Stud,Active,Power/speed shortstop
MLB,Freddie Freeman,1B,Stud,Active,Elite contact/power first baseman
MLB,Jose Altuve,2B,Sneaky Stud,Active,Undersized power/average infielder
MLB,Bryce Harper,OF,Stud,Active,Power-hitting outfielder-1B
MLB,Manny Machado,3B,Stud,Active,Power/defense third baseman
MLB,Francisco Lindor,SS,Stud,Active,Power/defense shortstop
MLB,Corey Seager,SS,Sneaky Stud,Active,Power-hitting shortstop
MLB,Vladimir Guerrero Jr,1B,Stud,Active,Elite contact/power first baseman
MLB,Bo Bichette,SS,Sneaky Stud,Active,Volume hits shortstop
MLB,Julio Rodriguez,OF,Stud,Active,Power/speed young outfielder
MLB,Yordan Alvarez,DH,Stud,Active,Elite power DH
MLB,Kyle Tucker,OF,Sneaky Stud,Active,Power/speed/average outfielder
MLB,Corbin Carroll,OF,Sneaky Stud,Active,Power/speed young outfielder
MLB,Gunnar Henderson,SS,Stud,Active,Young power shortstop
MLB,Bobby Witt Jr,SS,Stud,Active,Power/speed shortstop
MLB,Elly De La Cruz,SS,Sneaky Stud,Active,Elite speed/power shortstop
MLB,Jackson Chourio,OF,Sneaky Stud,Active,Young power/speed outfielder
MLB,Jazz Chisholm Jr,2B,Sneaky Stud,Active,Power/speed infielder-OF
MLB,Matt Olson,1B,Sneaky Stud,Active,Power-hitting first baseman
MLB,Pete Alonso,1B,Sneaky Stud,Active,Elite home run rate first baseman
MLB,Paul Goldschmidt,1B,Sneaky Stud,Active,Consistent power/average
MLB,Nolan Arenado,3B,Stud,Active,Power/defense third baseman
MLB,Trea Turner,SS,Sneaky Stud,Active,Power/speed shortstop
MLB,Xander Bogaerts,SS,Sneaky Stud,Active,Contact/power shortstop
MLB,Jacob deGrom,P,Stud,Active,Elite ERA/strikeout-rate pitcher
MLB,Gerrit Cole,P,Stud,Active,Elite strikeout-volume pitcher
MLB,Spencer Strider,P,Sneaky Stud,Active,Elite strikeout-rate pitcher
MLB,Corbin Burnes,P,Sneaky Stud,Active,Elite control/strikeout pitcher
MLB,Zack Wheeler,P,Sneaky Stud,Active,Consistent volume pitcher
MLB,Max Scherzer,P,Stud,Active,Elite strikeout-volume pitcher
MLB,Justin Verlander,P,Stud,Active,Longevity strikeout pitcher
MLB,Clayton Kershaw,P,Stud,Active,Elite ERA/control pitcher
MLB,Shane Bieber,P,Sneaky Stud,Active,Elite strikeout-rate pitcher
MLB,Dylan Cease,P,Sneaky Stud,Active,High-strikeout volatile pitcher
MLB,Emmanuel Clase,P,Sneaky Stud,Active,Elite closer save-rate
MLB,Josh Hader,P,Sneaky Stud,Active,Elite strikeout-rate reliever
MLB,Edwin Diaz,P,Sneaky Stud,Active,Elite strikeout-rate closer
MLB,Ketel Marte,2B,Sneaky Stud,Active,Underrated contact/power infielder
MLB,Willy Adames,SS,Role Player,Active,Power-hitting shortstop
MLB,Marcus Semien,2B,Sneaky Stud,Active,Durable power/speed infielder
MLB,Luis Robert Jr,OF,Sneaky Stud,Active,Power/speed outfielder
MLB,Steven Kwan,OF,Role Player,Active,Elite contact low-power outfielder
MLB,Andres Gimenez,2B,Role Player,Active,Defense-first infielder
MLB,Nico Hoerner,2B,Role Player,Active,Contact/speed infielder
MLB,Brandon Nimmo,OF,Role Player,Active,High on-base outfielder
MLB,Ian Happ,OF,Role Player,Active,Power/patience outfielder
MLB,Christian Yelich,OF,Sneaky Stud,Active,Power/speed/average outfielder
MLB,Kyle Schwarber,DH,Role Player,Active,Power-only three-true-outcomes hitter
MLB,J.D. Martinez,DH,Sneaky Stud,Active,Power-hitting DH
MLB,Anthony Santander,OF,Role Player,Active,Power-hitting outfielder
MLB,Adley Rutschman,C,Sneaky Stud,Active,Power/contact catcher
MLB,Salvador Perez,C,Sneaky Stud,Active,Durable power-hitting catcher
MLB,William Contreras,C,Role Player,Active,Power-hitting catcher
MLB,Cal Raleigh,C,Sneaky Stud,Active,Power-hitting catcher
MLB,Willson Contreras,C,Role Player,Active,Power-hitting catcher
MLB,Michael Harris II,OF,Sneaky Stud,Active,Power/speed young outfielder
MLB,Ha-Seong Kim,SS,Role Player,Active,Defense-first utility infielder
MLB,Jeremy Pena,SS,Role Player,Active,Defense-first shortstop
MLB,Isaac Paredes,3B,Role Player,Active,Pull-power hitting infielder
MLB,Ozzie Albies,2B,Sneaky Stud,Active,Power/speed second baseman
MLB,Austin Riley,3B,Sneaky Stud,Active,Power-hitting third baseman
MLB,Randy Arozarena,OF,Role Player,Active,Postseason power/speed outfielder
MLB,Yandy Diaz,1B,Role Player,Active,Elite contact low-power infielder
MLB,Alex Bregman,3B,Sneaky Stud,Active,Power/contact third baseman
MLB,Jim Thome,1B,Sneaky Stud,Retired,Elite home run rate hitter
MLB,Sammy Sosa,OF,Sneaky Stud,Retired,Power-hitting outfielder
MLB,Mark McGwire,1B,Sneaky Stud,Retired,Elite home run rate first baseman
MLB,Rafael Palmeiro,1B,Role Player,Retired,Volume power/average first baseman
MLB,Fred McGriff,1B,Role Player,Retired,Consistent power first baseman
MLB,Vladimir Guerrero Sr,OF,Stud,Retired,Free-swinging power/average hitter
MLB,Gary Sheffield,OF,Sneaky Stud,Retired,Power-hitting outfielder
MLB,Larry Walker,OF,Sneaky Stud,Retired,Power/average/defense outfielder
MLB,Edgar Martinez,DH,Sneaky Stud,Retired,Elite career batting average DH
MLB,Jeff Kent,2B,Sneaky Stud,Retired,Power-hitting second baseman
MLB,Kenny Lofton,OF,Role Player,Retired,Speed/contact outfielder
MLB,Andruw Jones,OF,Sneaky Stud,Retired,Power/defense outfielder
MLB,Bernie Williams,OF,Role Player,Retired,Contact/power outfielder
MLB,Barry Larkin,SS,Sneaky Stud,Retired,Power/speed shortstop
MLB,Alan Trammell,SS,Role Player,Retired,Contact/defense shortstop
MLB,Robin Yount,SS,Sneaky Stud,Retired,Volume hits shortstop-OF
MLB,Paul Molitor,3B,Role Player,Retired,Volume hits infielder
MLB,Kirby Puckett,OF,Sneaky Stud,Retired,Contact/power outfielder
MLB,Eddie Murray,1B,Sneaky Stud,Retired,Switch-hitting power/average
MLB,Dave Winfield,OF,Role Player,Retired,Volume power/average outfielder
MLB,Andre Dawson,OF,Sneaky Stud,Retired,Power/speed outfielder
MLB,Tim Raines,OF,Sneaky Stud,Retired,Elite stolen-base outfielder
MLB,Roy Halladay,P,Stud,Retired,Elite control/complete-game pitcher
MLB,John Smoltz,P,Sneaky Stud,Retired,Starter/closer dual-role pitcher
MLB,Curt Schilling,P,Sneaky Stud,Retired,Elite strikeout-to-walk pitcher
MLB,Mike Mussina,P,Role Player,Retired,Consistent control pitcher
MLB,David Cone,P,Role Player,Retired,Strikeout-volume pitcher
MLB,Orel Hershiser,P,Role Player,Retired,Elite scoreless-innings streak
MLB,Dennis Eckersley,P,Sneaky Stud,Retired,Starter-to-closer conversion
MLB,Rollie Fingers,P,Role Player,Retired,Early-era saves specialist
MLB,Trevor Hoffman,P,Sneaky Stud,Retired,Elite career saves total
MLB,Billy Wagner,P,Sneaky Stud,Retired,Elite strikeout-rate closer
MLB,Craig Kimbrel,P,Sneaky Stud,Active,Elite strikeout-rate closer
MLB,Aroldis Chapman,P,Sneaky Stud,Active,Elite velocity/strikeout reliever
MLB,Kenley Jansen,P,Role Player,Active,Consistent saves closer
MLB,Framber Valdez,P,Role Player,Active,Ground-ball control pitcher
MLB,Logan Webb,P,Sneaky Stud,Active,Ground-ball strikeout pitcher
MLB,Tarik Skubal,P,Stud,Active,Elite strikeout/control pitcher
MLB,Paul Skenes,P,Stud,Active,Elite velocity rookie pitcher
